Order Date,Category,Sub-Category,Region,Ship Mode,Sales,Profit
2021-09-01,Furniture,Binders,Central,Same Day,780.7012136274572,31.37412944991199
2021-08-11,Technology,Tables,Central,First Class,1075.6358045010636,254.89840884271067
2021-09-20,Office Supplies,Chairs,East,Second Class,1160.0678651380185,-159.31493626345053
2021-09-23,Office Supplies,Phones,Central,Second Class,2334.2591207780997,-208.46806019114746
2021-03-29,Office Supplies,Paper,Central,First Class,1489.359681324781,-45.52723264428712
2021-01-15,Office Supplies,Accessories,South,Same Day,2373.218310464446,538.06266658057
2021-07-18,Office Supplies,Phones,South,First Class,1412.2851467246098,301.57473574913155
2021-05-21,Furniture,Chairs,South,First Class,1276.3754810802977,-108.74676171133305
2021-01-28,Office Supplies,Paper,East,Same Day,58.65391686730843,14.220472594246115
2021-10-22,Furniture,Paper,South,First Class,1228.1781574936572,184.59396123850158
2021-11-27,Furniture,Tables,Central,Second Class,2322.264746478497,153.24818546849244
2021-12-22,Technology,Paper,West,First Class,535.995938115462,119.35619360180957
2021-04-27,Technology,Phones,Central,Second Class,177.6232792542722,35.923039443115
2021-04-10,Technology,Accessories,West,Standard Class,1046.6082890109778,6.830790526458803
2021-07-13,Technology,Accessories,South,Standard Class,962.3713774555745,108.30265562099177
2021-10-31,Furniture,Binders,Central,First Class,2150.0249917845467,234.25394814942425
2021-01-17,Office Supplies,Chairs,Central,Second Class,115.19723312190088,-2.213252838007906
2021-05-14,Technology,Tables,West,Standard Class,2304.365612909562,-180.30262202921327
2021-12-27,Furniture,Binders,East,Standard Class,1718.2123475376432,63.0995460324359
2021-04-20,Office Supplies,Accessories,Central,First Class,2265.353685457333,-101.23318645527347
2021-03-28,Technology,Paper,Central,Second Class,1538.446223510565,-12.267492423107345
2021-02-16,Office Supplies,Tables,East,First Class,2039.2856154685046,472.4159860239872
2021-09-29,Technology,Tables,East,Second Class,872.0824901712512,30.04773145269726
2021-11-12,Furniture,Chairs,East,Same Day,906.4372586675214,112.3588681804244
2021-10-24,Office Supplies,Chairs,South,Second Class,1005.1918643043164,-15.588557743110568
2021-10-29,Technology,Tables,Central,Second Class,1899.252849853319,471.6688690442536
2021-09-14,Furniture,Tables,South,Second Class,954.763377350187,108.37236717076783
2021-11-21,Furniture,Paper,West,First Class,643.4385259060548,-46.06776220471948
2021-12-16,Office Supplies,Paper,Central,Standard Class,2347.2874741369596,-259.9066930706039
2021-03-02,Office Supplies,Accessories,South,Second Class,2274.6271549744483,516.9595824513142
2021-11-18,Technology,Phones,West,Second Class,904.553424413128,206.15779571232477
2021-09-12,Technology,Accessories,East,Second Class,1604.8632721322158,158.12934504331304
2021-11-20,Office Supplies,Tables,Central,Same Day,720.9134185500357,-103.237252830509
2021-10-28,Office Supplies,Accessories,South,First Class,554.9820653482443,-33.18018344869962
2021-11-04,Office Supplies,Paper,Central,Second Class,874.0318460421463,149.03179381920987
2021-05-16,Office Supplies,Chairs,Central,Same Day,851.394736907978,170.43554588439397
2021-03-30,Furniture,Accessories,Central,Standard Class,2211.57644793171,69.87680527260873
2021-05-22,Technology,Phones,East,Same Day,2064.644346073127,-7.828620751097224
2021-12-31,Technology,Binders,South,Same Day,1788.5769099697898,-72.09752704344416
2021-11-16,Technology,Phones,South,Same Day,2400.3958018842973,-247.74915820702216
2021-12-07,Technology,Chairs,East,Second Class,1085.2312151147423,-112.54084891083916
2021-04-30,Technology,Tables,East,Standard Class,650.3309444614068,150.25316335164334
2021-09-08,Furniture,Binders,South,Standard Class,337.62617111914864,58.56140992481733
2021-02-28,Furniture,Phones,Central,Same Day,787.5807275929395,-66.226289656792
2021-03-19,Office Supplies,Paper,Central,First Class,405.8961482276118,-27.26809513885244
2021-01-09,Technology,Tables,South,Same Day,275.8559385525066,30.956724527917267
2021-07-26,Technology,Tables,West,Standard Class,1527.1838819319619,238.03556351764345
2021-03-07,Furniture,Phones,West,Second Class,942.2592519032949,164.07177617500318
2021-08-11,Technology,Binders,West,Standard Class,1433.1973393605517,-121.34154304784315
2021-07-18,Office Supplies,Binders,Central,Second Class,518.7725157653637,126.399605760761
2021-02-10,Technology,Paper,Central,Standard Class,1708.4193561492634,-100.59031997871763
2021-03-18,Technology,Chairs,West,Second Class,577.9883458253665,49.57184860585651
2021-06-03,Technology,Chairs,West,First Class,731.1578046728883,62.18226755910767
2021-05-04,Office Supplies,Paper,West,Second Class,1867.3130342549482,442.45002802256636
2021-05-16,Office Supplies,Binders,East,Same Day,1421.3578443295442,160.70863502058032
2021-09-27,Furniture,Paper,West,First Class,870.3492115241972,73.07600507539155
2021-09-09,Technology,Phones,Central,Second Class,1380.3225172357243,79.38101107637266
2021-09-15,Furniture,Accessories,Central,Same Day,1750.2625220026941,272.8011941391776
2021-09-05,Office Supplies,Accessories,West,Standard Class,2284.723697620191,-245.785767794296
2021-06-19,Office Supplies,Accessories,Central,Second Class,1472.747372816412,-219.67976913374588
2021-07-26,Technology,Tables,Central,Same Day,620.0816282875583,143.23609498273166
2021-03-05,Furniture,Phones,Central,Standard Class,1879.4091954024166,92.96135197390957
2021-01-04,Office Supplies,Accessories,West,Second Class,1955.5340930090333,-36.50170304989768
2021-01-18,Office Supplies,Phones,Central,Second Class,540.9832216585023,-1.5032278961060819
2021-03-30,Furniture,Binders,East,Second Class,2060.4068382108208,353.4366804209759
2021-08-27,Furniture,Tables,West,Same Day,1189.090394070925,3.505539515759954
2021-08-04,Office Supplies,Chairs,South,First Class,1960.4283221179157,309.8803362900713
2021-07-17,Technology,Binders,West,Standard Class,631.8216389712514,16.54412377979498
2021-04-08,Technology,Binders,Central,First Class,864.8216608083072,162.26734015343348
2021-02-20,Technology,Accessories,West,First Class,2386.557942264549,-285.237525623755
2021-12-24,Technology,Phones,Central,First Class,1661.6469292170223,70.53912385058875
2021-05-11,Furniture,Tables,East,First Class,1943.5506847287775,71.4058268709486
2021-05-27,Office Supplies,Phones,East,Second Class,1736.5171408905412,-76.87354437664163
2021-10-30,Office Supplies,Phones,Central,Same Day,550.5450887286602,125.21922208319238
2021-02-15,Technology,Accessories,South,Second Class,1203.1874336940293,255.0894319984941
2021-01-19,Office Supplies,Tables,Central,Same Day,2031.9614881438733,55.75401751326908
2021-06-24,Furniture,Binders,South,Same Day,1703.836060927961,-189.35779318577056
2021-03-15,Office Supplies,Chairs,Central,First Class,64.76831985057991,-4.358049126606119
2021-03-04,Office Supplies,Binders,South,First Class,264.1489694994159,-10.9366298931818
2021-07-15,Office Supplies,Binders,East,First Class,899.6470645232205,39.30369945458151
2021-05-20,Technology,Binders,South,Same Day,2363.695572065546,-34.626144019416465
2021-04-03,Technology,Tables,Central,Standard Class,1253.4166783877297,200.11352273362192
2021-02-15,Office Supplies,Binders,East,Standard Class,711.9318552043177,28.76962407945752
2021-05-03,Furniture,Tables,West,Second Class,933.0381126615893,184.87982421365572
2021-07-07,Office Supplies,Tables,Central,Standard Class,566.0989375074549,140.56955567024028
2021-10-09,Furniture,Chairs,South,First Class,1081.940140066531,-67.151285595559
2021-10-11,Furniture,Phones,South,Same Day,584.1868268962127,55.30412033963203
2021-04-21,Furniture,Tables,East,Standard Class,2122.0936428921727,401.0776597694546
2021-09-17,Furniture,Chairs,South,Same Day,1167.862967651829,266.3832995003035
2021-04-10,Technology,Phones,East,First Class,735.514945167637,-24.982081369811354
2021-07-26,Office Supplies,Tables,South,Standard Class,2335.58453794663,328.89023578298753
2021-12-08,Furniture,Paper,West,Standard Class,820.1608163915321,-118.09785984080114
2021-11-09,Furniture,Accessories,East,Same Day,2278.800922006178,459.5361013698048
2021-12-10,Office Supplies,Phones,Central,Standard Class,156.37432287717877,-19.456809502158393
2021-04-11,Furniture,Phones,South,Second Class,1782.4318976558066,255.526156224862
2021-11-22,Technology,Binders,Central,Standard Class,1235.5281456348346,306.2184289210726
2021-04-23,Furniture,Phones,South,Second Class,1138.3416002535516,57.4588308012734
2021-11-09,Technology,Paper,East,Same Day,138.9921936623549,-9.210512817302797
2021-03-02,Technology,Chairs,East,Same Day,149.6738167038838,13.149957346056809
2021-05-18,Furniture,Binders,East,Same Day,865.2463618017554,86.23044540447643
2021-07-14,Office Supplies,Chairs,West,Same Day,2370.4428727732115,277.8848725619309
2021-06-11,Technology,Accessories,Central,Second Class,1563.2669439309932,-126.55474932035472
2021-03-11,Furniture,Tables,South,Standard Class,953.7433621182709,199.7950016257987
2021-05-05,Office Supplies,Phones,East,First Class,1549.3437456845186,152.45007469169937
2021-07-27,Technology,Chairs,Central,First Class,555.0222638988074,-73.5806991704218
2021-09-09,Furniture,Binders,West,First Class,454.4127849286916,56.17288434833548
2021-01-29,Furniture,Chairs,South,Same Day,936.4523005518281,-67.01850245587863
2021-11-19,Furniture,Chairs,West,Standard Class,2165.215711274058,-301.1028809825522
2021-01-11,Technology,Accessories,Central,Second Class,1298.0342320080483,91.35734979467982
2021-08-17,Furniture,Chairs,West,Standard Class,777.4087143392961,136.29953689865258
2021-09-17,Furniture,Tables,South,Second Class,2378.1164814194194,461.2986148997685
2021-09-17,Office Supplies,Accessories,South,First Class,2049.1169196842966,-222.5169462468402
2021-10-07,Technology,Accessories,Central,Standard Class,841.2861598659442,96.93056361789638
2021-08-08,Furniture,Binders,Central,Same Day,2431.640700808581,325.91302144982836
2021-07-03,Technology,Tables,East,First Class,2469.0101896844576,-79.48534469357082
2021-10-18,Furniture,Binders,East,Standard Class,1051.2173276771562,250.7632676080999
2021-10-21,Furniture,Phones,Central,First Class,1657.0116020767632,-63.836391809044756
2021-11-02,Office Supplies,Paper,East,Standard Class,1043.8503362055087,-127.35717766370462
2021-12-10,Furniture,Tables,Central,Same Day,680.5028590643992,39.273279305814974
2021-12-08,Furniture,Accessories,West,Second Class,252.49905619967723,32.25068295601509
2021-06-03,Office Supplies,Tables,South,Second Class,695.8453479886883,-36.278652331328175
2021-07-06,Furniture,Paper,South,Same Day,715.1256410988758,-10.4173203910845
2021-07-14,Furniture,Accessories,East,First Class,1026.6657452236918,77.46315550765937
2021-10-29,Office Supplies,Paper,Central,Second Class,502.9707760120062,102.94366564621997
2021-01-11,Furniture,Binders,East,Same Day,2386.8550881204674,355.4751932103121
2021-05-17,Office Supplies,Binders,South,Standard Class,302.055719183836,-19.984977899349705
2021-09-03,Technology,Chairs,East,Second Class,1581.7609061900637,-77.96368491183289
2021-10-09,Office Supplies,Chairs,Central,First Class,1132.1586007132405,67.42262108843696
2021-12-22,Office Supplies,Phones,South,First Class,1087.6192199926527,171.39081941080357
2021-03-09,Furniture,Paper,Central,First Class,961.3798681644847,93.73906647298953
2021-04-26,Technology,Paper,South,Standard Class,2177.3710399224924,110.02191963322835
2021-11-18,Furniture,Phones,Central,First Class,737.1686025846838,65.49753054747174
2021-01-08,Furniture,Accessories,South,First Class,100.41158561437705,15.305136695667974
2021-12-22,Furniture,Binders,East,Same Day,2299.337689099811,149.07047141066283
2021-08-14,Furniture,Chairs,South,Second Class,2167.9766800553334,453.32630354771334
2021-06-17,Furniture,Chairs,East,Second Class,728.4093856127071,166.67973171081067
2021-08-09,Technology,Binders,Central,Same Day,1332.5444933962951,288.01856891426837
2021-05-18,Office Supplies,Paper,South,Same Day,317.2660832975768,48.1633189161764
2021-06-18,Technology,Chairs,Central,First Class,278.8963184646356,-14.355239300229398
2021-11-21,Office Supplies,Paper,West,Standard Class,2101.7919656625872,8.635377078886886
2021-08-04,Office Supplies,Phones,South,Second Class,1055.151008044621,-40.09575895865135
2021-08-21,Technology,Chairs,East,First Class,1671.2055234956524,188.95334245223543
2021-03-31,Furniture,Accessories,West,Standard Class,2360.8413682690243,-47.95187585262746
2021-11-03,Technology,Phones,East,Second Class,650.5699493255825,98.72831087086615
2021-02-14,Furniture,Paper,East,First Class,82.24158666261043,-8.602171315795548
2021-04-03,Furniture,Paper,East,First Class,109.16359417024242,17.48210259640998
2021-12-06,Office Supplies,Accessories,Central,Same Day,1787.9949463877715,150.83666594534623
2021-12-04,Technology,Accessories,Central,Standard Class,2315.1521177440213,426.3479376130439
2021-04-19,Furniture,Phones,Central,First Class,1194.959168881534,26.707649132331706
2021-03-03,Furniture,Paper,Central,First Class,969.0174128389209,96.88796310005547
2021-12-27,Technology,Tables,Central,First Class,1380.0080404596404,99.03607364656499
2021-09-05,Furniture,Chairs,East,Second Class,2154.3462520745297,517.621556558649
2021-09-05,Office Supplies,Paper,West,Same Day,1647.7769907927068,250.77477910584793
2021-01-15,Office Supplies,Binders,West,First Class,620.8007468711604,42.16807682434681
2021-01-24,Technology,Binders,West,First Class,1947.7215010754055,-156.57180731356388
2021-11-15,Technology,Phones,West,Same Day,379.80306847435145,80.3836812532336
2021-04-28,Technology,Binders,Central,Standard Class,455.62192828534654,-30.829606258742015
2021-03-22,Technology,Paper,South,Same Day,1551.0715928820246,170.6447129683873
2021-08-29,Office Supplies,Paper,West,Same Day,635.0193450494463,142.6181953358758
2021-08-27,Office Supplies,Accessories,South,First Class,1776.7074415110499,-107.61187911969708
2021-06-02,Office Supplies,Phones,South,First Class,906.3203921102938,-54.04441400567452
2021-05-07,Furniture,Chairs,South,Same Day,729.6887020180941,139.17174873741163
2021-05-24,Furniture,Chairs,South,First Class,2497.3500946333543,452.1752287758631
2021-05-08,Furniture,Chairs,West,Same Day,149.50950516822587,-1.3932280673528794
2021-03-26,Office Supplies,Paper,West,First Class,1632.2651781236248,-71.75680037247034
2021-08-24,Technology,Binders,East,Second Class,144.81398327999867,-14.343044655128013
2021-08-28,Technology,Phones,South,First Class,1912.51513190156,468.8998288271203
2021-08-07,Furniture,Tables,West,Standard Class,613.7203958708126,113.00878004345381
2021-01-05,Furniture,Accessories,East,Second Class,270.0880743272918,56.65276750855297
2021-05-30,Technology,Paper,East,Same Day,1638.7017941771671,90.9016241394138
2021-02-02,Furniture,Accessories,East,First Class,1844.8729823676745,-192.32075268410938
2021-12-21,Furniture,Accessories,West,Same Day,1711.3335215511675,-220.70702992686708
2021-04-17,Office Supplies,Paper,Central,Standard Class,177.15732047880772,-3.147582258642698
2021-04-14,Furniture,Accessories,South,Same Day,771.0520166076826,168.1912520288175
2021-12-13,Office Supplies,Phones,South,Standard Class,1155.1664482386939,264.57092992868724
2021-12-26,Office Supplies,Binders,West,Second Class,753.4030598274663,140.48371314058696
2021-02-28,Furniture,Tables,South,Standard Class,2035.7579678624086,-176.15076291786707
2021-09-15,Office Supplies,Binders,South,Second Class,371.2320076241073,6.670767600162888
2021-06-23,Office Supplies,Accessories,Central,Standard Class,1549.83943614195,-79.82112091243187
2021-10-06,Office Supplies,Accessories,West,Second Class,2471.1266118872613,-167.69087455256215
2021-02-23,Technology,Tables,West,Standard Class,2261.2635195672287,280.2391569096467
2021-11-27,Furniture,Binders,Central,Second Class,594.2848030884916,26.412790228670165
2021-10-19,Technology,Chairs,East,First Class,50.200624653485804,-1.0058268445313667
2021-03-25,Office Supplies,Accessories,East,Second Class,2452.463488051873,-269.560599267421
2021-12-17,Office Supplies,Chairs,East,Same Day,2212.646812508575,150.25055268213575
2021-03-13,Technology,Tables,Central,First Class,2302.707542502651,-25.76715641328538
2021-02-09,Office Supplies,Paper,South,Standard Class,1067.9836995522019,6.876023439937133
2021-12-10,Office Supplies,Chairs,South,Second Class,1874.307882283991,-48.35058943703766
2021-12-06,Furniture,Phones,West,Second Class,571.4371714944152,2.787517362001484
2021-12-01,Office Supplies,Accessories,West,Second Class,1011.1449741556224,73.15010398945651
2021-01-30,Technology,Phones,Central,Standard Class,2136.292725898579,-308.35778527939226
2021-01-20,Furniture,Binders,South,Same Day,362.64994933415085,68.56216354829311
2021-10-21,Office Supplies,Chairs,East,Standard Class,2239.9701512904157,490.0336660786536
2021-01-02,Furniture,Paper,West,Second Class,1266.444532319027,88.91944669643033
2021-05-14,Technology,Binders,Central,First Class,1093.9343556628073,-46.811150271899045
2021-12-28,Office Supplies,Phones,South,Second Class,798.8336508281401,196.58944666914704
2021-03-23,Office Supplies,Binders,Central,First Class,2296.2795239183015,7.526313328844325
2021-06-13,Office Supplies,Tables,West,Second Class,1318.1774788651583,168.01774570905212
2021-03-19,Technology,Binders,Central,Same Day,2019.8646024170205,254.46460064855606
2021-01-26,Furniture,Binders,South,Same Day,2151.2468788385295,51.03537609394879
2021-04-08,Technology,Paper,Central,Standard Class,2309.836768749265,-162.46638147035353
2021-04-28,Office Supplies,Chairs,East,Same Day,793.2827983810366,187.71589710738286
2021-03-23,Technology,Phones,Central,First Class,882.5365924086443,-109.8966832806018
2021-05-25,Office Supplies,Accessories,South,Standard Class,1507.9309970516565,66.43907048185459
2021-10-14,Technology,Binders,East,Same Day,1131.2441318757042,-69.80649171135062
2021-06-08,Office Supplies,Chairs,South,Second Class,2335.464204918368,-75.69320554175805
2021-01-13,Technology,Phones,Central,Same Day,1024.0319265020416,185.77058298727096
2021-04-01,Technology,Paper,East,Standard Class,1220.5562185192653,-3.776126079178202
2021-04-03,Furniture,Binders,West,Same Day,1562.1059169555065,-182.23635743124805
2021-02-08,Technology,Accessories,West,First Class,1041.6117406356816,-74.45065528432423
2021-12-21,Technology,Chairs,East,First Class,2481.572168016511,481.79565840373334
